text,category,marks_range,order
"Setswana or any other local language","Proficiency","0-10",1
"Source of Livelihood","Education","0-30",2
"Community Involvement/Engagement","Special Talents","0-30",3
"Attributes - Presentation","Soft Skills","0-20",4
"Character","Personality","0-10",5
